t_sim,x,y,z
0.00000,0.00000,0.00000,0.00000
0.01000,0.00003,-0.00002,0.00000
0.02000,0.00003,-0.00002,0.00002
0.03000,0.00003,0.00000,0.00002
0.04000,0.00003,-0.00002,0.00000
0.05000,0.00000,-0.00002,0.00002
0.06000,0.00000,-0.00002,0.00000
0.07001,0.00003,-0.00002,0.00000
0.08001,0.00003,0.00000,0.00002
0.09001,0.00000,-0.00002,0.00002
0.10001,0.00003,0.00000,0.00000
0.11001,0.00003,-0.00002,0.00000
0.12001,0.00003,-0.00002,0.00000
0.13001,0.00003,-0.00002,0.00000
0.14001,0.00003,0.00000,0.00000
0.15001,0.00003,-0.00002,0.00000
0.16001,0.00003,-0.00002,0.00000
0.17001,0.00000,-0.00002,0.00002
0.18001,0.00000,-0.00002,0.00002
0.19001,0.00000,-0.00002,0.00000
0.20001,0.00000,-0.00002,0.00002
0.21001,0.00000,0.00000,0.00000
0.22001,0.00000,-0.00002,0.00000
0.23001,0.00000,-0.00002,0.00000
0.24001,0.00003,0.00000,0.00000
0.25001,0.00003,-0.00002,0.00000
0.26001,0.00003,0.00000,0.00002
0.27001,0.00000,-0.00002,0.00000
0.28001,0.00000,0.00000,0.00000
0.29001,0.00000,-0.00002,0.00000
0.30001,0.00000,-0.00002,0.00000
0.31001,0.00000,0.00000,0.00000
0.32001,0.00000,-0.00002,0.00000
0.33001,0.00000,-0.00002,0.00000
0.34001,0.00000,0.00000,0.00000
0.35001,0.00003,-0.00002,0.00000
0.36001,0.00000,-0.00002,0.00000
0.37001,0.00000,-0.00002,0.00000
0.38001,0.00000,0.00000,0.00002
0.39001,0.00000,-0.00002,0.00000
0.40001,0.00000,-0.00002,0.00002
0.41001,0.00000,0.00000,0.00002
0.42001,0.00000,-0.00002,0.00000
0.43001,0.00000,-0.00002,0.00002
0.44001,0.00000,-0.00002,0.00002
0.45001,0.00003,-0.00002,0.00000
0.46001,0.00003,-0.00002,0.00002
0.47001,0.00003,-0.00002,0.00002
0.48001,0.00000,0.00000,0.00000
0.49001,0.00000,-0.00002,-0.00002
0.50002,0.00003,0.00000,0.00000
0.51002,0.00003,-0.00002,0.00000
0.52002,0.00000,0.00000,0.00002
0.53002,0.00000,-0.00002,0.00000
0.54002,0.00000,0.00000,0.00000
0.55002,0.00000,-0.00002,0.00000
0.56002,0.00000,-0.00002,0.00000
0.57002,0.00003,-0.00002,0.00000
0.58002,0.00003,-0.00002,0.00000
0.59002,0.00000,0.00000,0.00002
0.60002,0.00000,-0.00002,0.00000
0.61002,0.00003,0.00000,0.00002
0.62002,0.00003,-0.00002,0.00000
0.63002,0.00003,-0.00002,0.00000
0.64002,0.00003,0.00000,0.00000
0.65002,0.00003,-0.00002,0.00000
0.66002,0.00000,0.00000,0.00002
0.67002,0.00000,-0.00002,0.00002
0.68002,0.00003,0.00000,0.00002
0.69002,0.00003,-0.00002,0.00000
0.70002,0.00000,-0.00002,0.00002
0.71002,0.00000,-0.00002,0.00002
0.72002,0.00003,-0.00002,0.00000
0.73002,0.00003,-0.00002,0.00000
0.74002,0.00003,-0.00002,0.00002
0.75002,0.00003,0.00000,0.00000
0.76002,0.00000,-0.00002,0.00000
0.77002,0.00003,-0.00002,0.00002
0.78002,0.00003,0.00000,0.00002
0.79002,0.00003,-0.00002,0.00000
0.80002,0.00003,-0.00002,0.00000
0.81002,0.00000,-0.00002,0.00002
0.82002,0.00003,0.00000,0.00000
0.83002,0.00000,-0.00002,0.00000
0.84002,0.00000,-0.00002,0.00000
0.85002,0.00003,0.00000,0.00002
0.86002,0.00003,-0.00002,0.00000
0.87002,0.00000,-0.00002,0.00002
0.88002,0.00000,-0.00002,0.00002
0.89002,0.00000,0.00000,0.00002
0.90002,0.00000,-0.00002,0.00000
0.91002,0.00000,0.00000,0.00000
0.92002,0.00003,-0.00002,0.00000
0.93002,0.00003,-0.00002,0.00002
0.94003,0.00000,-0.00002,0.00000
0.95003,0.00000,0.00000,0.00000
0.96003,0.00000,-0.00002,0.00000
0.97003,0.00000,-0.00002,0.00000
0.98003,0.00000,0.00000,0.00000
0.99003,0.00003,-0.00002,0.00000
1.00003,0.00003,-0.00002,0.00002
1.01003,0.00003,-0.00002,0.00002
1.02003,0.00000,0.00000,0.00000
1.03003,0.00000,-0.00002,-0.00002
1.04003,0.00000,-0.00002,0.00000
1.05003,0.00000,0.00000,0.00000
1.06003,0.00000,-0.00002,0.00000
1.07003,0.00000,-0.00002,0.00000
1.08003,0.00000,-0.00002,0.00002
1.09003,0.00003,0.00000,0.00000
1.10003,0.00003,-0.00002,0.00000
1.11003,0.00003,0.00000,0.00002
1.12003,0.00000,-0.00002,0.00002
1.13003,0.00000,0.00000,0.00000
1.14003,0.00000,-0.00002,0.00000
1.15003,0.00000,-0.00002,0.00000
1.16003,0.00000,0.00000,0.00000
1.17003,0.00003,-0.00002,0.00000
1.18003,0.00003,-0.00002,0.00002
1.19003,0.00003,-0.00002,0.00002
1.20003,0.00000,-0.00002,0.00000
1.21003,0.00000,-0.00002,0.00000
1.22003,0.00000,0.00000,0.00000
1.23003,0.00003,-0.00002,0.00000
1.24003,0.00003,-0.00002,0.00002
1.25003,0.00003,-0.00002,0.00002
1.26003,0.00000,0.00000,0.00000
1.27003,0.00000,-0.00002,-0.00002
1.28003,0.00003,0.00000,0.00000
1.29003,0.00000,-0.00002,0.00000
1.30003,0.00000,0.00000,0.00000
1.31003,0.00000,-0.00002,0.00000
1.32003,0.00000,0.00000,0.00000
1.33003,0.00000,-0.00002,0.00000
1.34003,0.00000,-0.00002,0.00000
1.35003,0.00000,-0.00002,0.00000
1.36003,0.00000,0.00000,0.00000
1.37003,0.00000,-0.00002,0.00000
1.38004,0.00000,-0.00002,0.00000
1.39004,0.00003,0.00000,0.00000
1.40004,0.00003,-0.00002,0.00000
1.41004,0.00000,0.00000,0.00002
1.42004,0.00000,-0.00002,0.00000
1.43004,0.00000,0.00000,0.00000
1.44004,0.00000,-0.00002,0.00000
1.45004,0.00000,-0.00002,0.00000
1.46004,0.00000,0.00000,0.00000
1.47004,0.00000,-0.00002,0.00000
1.48004,0.00000,-0.00002,0.00000
1.49004,0.00000,-0.00002,0.00002
1.50004,0.00000,0.00000,0.00000
1.51004,0.00000,-0.00002,-0.00002
1.52004,0.00000,-0.00002,0.00000
1.53004,0.00000,-0.00002,0.00002
1.54004,0.00000,0.00000,0.00000
1.55004,0.00000,-0.00002,-0.00002
1.56004,0.00003,0.00000,0.00000
1.57004,0.00003,-0.00002,0.00000
1.58004,0.00000,0.00000,0.00000
1.59004,0.00000,-0.00002,0.00000
1.60004,0.00000,0.00000,0.00000
1.61004,0.00000,-0.00002,-0.00002
1.62004,0.00000,0.00000,0.00000
1.63004,0.00000,-0.00002,0.00000
1.64004,0.00003,0.00000,0.00000
1.65004,0.00003,-0.00002,0.00000
1.66004,0.00000,0.00000,0.00002
1.67004,0.00000,-0.00002,0.00000
1.68004,0.00000,0.00000,0.00000
1.69004,0.00000,-0.00002,0.00000
1.70004,0.00000,-0.00002,0.00000
1.71004,0.00000,0.00000,0.00000
1.72004,0.00003,-0.00002,0.00000
1.73004,0.00000,-0.00002,0.00000
1.74004,0.00000,-0.00002,0.00000
1.75004,0.00000,0.00000,0.00002
1.76004,0.00000,-0.00002,0.00000
1.77004,0.00000,-0.00002,0.00002
1.78004,0.00000,0.00000,0.00002
1.79004,0.00000,-0.00002,0.00000
1.80004,0.00000,-0.00002,0.00002
1.81005,0.00000,-0.00002,0.00002
1.82005,0.00003,-0.00002,0.00000
1.83005,0.00003,-0.00002,0.00002
1.84005,0.00003,-0.00002,0.00002
1.85005,0.00000,0.00000,0.00000
1.86005,0.00000,-0.00002,-0.00002
1.87005,0.00003,0.00000,0.00000
1.88005,0.00003,-0.00002,0.00000
1.89005,0.00000,0.00000,0.00002
1.90005,0.00000,-0.00002,0.00000
1.91005,0.00000,0.00000,0.00000
1.92005,0.00000,-0.00002,0.00000
1.93005,0.00000,-0.00002,0.00000
1.94005,0.00003,-0.00002,0.00000
1.95005,0.00003,-0.00002,0.00000
1.96005,0.00000,0.00000,0.00002
1.97005,0.00000,-0.00002,0.00000
1.98005,0.00003,0.00000,0.00002
1.99005,0.00003,-0.00002,0.00000
2.00005,0.00003,-0.00002,0.00000
2.01005,0.00003,0.00000,0.00000
2.02005,0.00003,-0.00002,0.00000
2.03005,0.00000,0.00000,0.00002
2.04005,0.00000,-0.00002,0.00002
2.05005,0.00003,0.00000,0.00002
2.06005,0.00003,-0.00002,0.00000
2.07005,0.00000,-0.00002,0.00002
2.08005,0.00000,-0.00002,0.00002
2.09005,0.00003,-0.00002,0.00000
2.10005,0.00003,-0.00002,0.00000
2.11005,0.00003,-0.00002,0.00002
2.12005,0.00003,0.00000,0.00000
2.13005,0.00000,-0.00002,0.00000
2.14005,0.00003,-0.00002,0.00002
2.15005,0.00003,0.00000,0.00002
2.16005,0.00003,-0.00002,0.00000
2.17005,0.00003,-0.00002,0.00000
2.18005,0.00003,0.00000,0.00002
2.19005,0.00003,-0.00002,0.00000
2.20005,0.00000,-0.00002,0.00000
2.21005,0.00000,-0.00002,0.00000
2.22005,0.00000,0.00000,0.00002
2.23005,0.00000,-0.00002,0.00000
2.24005,0.00000,-0.00002,0.00002
2.25006,0.00000,-0.00002,0.00002
2.26006,0.00000,-0.00002,0.00000
2.27006,0.00003,-0.00002,0.00000
2.28006,0.00000,-0.00002,0.00002
2.29006,0.00000,-0.00002,0.00000
2.30006,0.00000,-0.00002,0.00000
2.31006,0.00000,-0.00002,0.00000
2.32006,0.00000,0.00000,0.00000
2.33006,0.00000,-0.00002,0.00002
2.34006,0.00000,-0.00002,0.00000
2.35006,0.00000,-0.00002,0.00000
2.36006,0.00000,0.00000,0.00000
2.37006,0.00003,-0.00002,0.00000
2.38006,0.00003,-0.00002,0.00002
2.39006,0.00003,-0.00002,0.00002
2.40006,0.00000,0.00000,0.00000
2.41006,0.00000,-0.00002,-0.00002
2.42006,0.00003,0.00000,0.00000
2.43006,0.00000,-0.00002,0.00000
2.44006,0.00000,0.00000,0.00000
2.45006,0.00000,-0.00002,0.00000
2.46006,0.00000,0.00000,0.00000
2.47006,0.00000,-0.00002,0.00002
2.48006,0.00000,-0.00002,0.00000
2.49006,0.00000,0.00000,0.00000
2.50006,0.00000,-0.00002,0.00002
2.51006,0.00000,0.00000,0.00000
2.52006,0.00000,-0.00002,0.00000
2.53006,0.00000,0.00000,0.00000
2.54006,0.00000,-0.00002,0.00002
2.55006,0.00000,-0.00002,0.00000
2.56006,0.00000,-0.00002,0.00000
2.57006,0.00000,0.00000,0.00000
2.58006,0.00000,-0.00002,0.00000
2.59006,0.00000,-0.00002,0.00000
2.60006,0.00003,-0.00002,0.00002
2.61006,0.00003,0.00000,0.00002
2.62006,0.00003,-0.00002,0.00000
2.63006,0.00000,-0.00002,0.00002
2.64006,0.00000,-0.00002,0.00002
2.65006,0.00003,-0.00002,0.00000
2.66006,0.00003,-0.00002,0.00000
2.67006,0.00003,0.00000,0.00000
2.68006,0.00000,-0.00002,-0.00002
2.69007,0.00000,0.00000,0.00000
2.70007,0.00000,-0.00002,0.00000
2.71007,0.00000,0.00000,0.00000
2.72007,0.00000,-0.00002,0.00000
2.73007,0.00000,0.00000,0.00002
2.74007,0.00000,-0.00002,0.00000
2.75007,0.00000,0.00000,0.00000
2.76007,0.00000,-0.00002,0.00000
2.77007,0.00000,-0.00002,0.00000
2.78007,0.00003,-0.00002,0.00000
2.79007,0.00003,0.00000,0.00002
2.80007,0.00003,-0.00002,0.00000
2.81007,0.00000,-0.00002,0.00002
2.82007,0.00000,-0.00002,0.00000
2.83007,0.00003,-0.00002,0.00000
2.84007,0.00003,-0.00002,0.00002
2.85007,0.00000,-0.00002,0.00002
2.86007,0.00000,0.00000,0.00000
2.87007,0.00000,-0.00002,0.00000
2.88007,0.00000,-0.00002,0.00000
2.89007,0.00000,0.00000,0.00000
2.90007,0.00000,-0.00002,0.00000
